product_group,goc,pol_num,pre_ann,sum_assd,loan_sa
CTEZPL_IDR,CTEZPL_TELEMAYBANK_NK_L_IDR_NO_2025_Q1,1081,2054400000,72900000000,0
CTEZPL_IDR,CTEZPL_TELEWOORI_NK_L_IDR_NO_2023_IF,118,154200000,4173750000,0
CTEZPL_IDR,CTEZPL_TELEWOORI_NK_L_IDR_NO_2024_IF,277,461400000,13286250000,0
CTEZPL_IDR,CTEZPL_TELEWOORI_NK_L_IDR_NO_2025_Q1,169,315600000,9180000000,0
CTMPJG_IDR,CTMPJG_MAYBANK_NK_L_IDR_NO_2018_IF,158,318600000,13275000000,0
CTMPJG_IDR,CTMPJG_MAYBANK_NK_L_IDR_NO_2019_IF,134,265800000,11075000000,0
CTMPJG_IDR,CTMPJG_MAYBANK_NK_L_IDR_NO_2020_IF,2268,3843000000,1.60125E+11,0
CTMPJG_IDR,CTMPJG_MAYBANK_NK_L_IDR_NO_2021_IF,3831,6619200000,2.758E+11,0
CTMPJG_IDR,CTMPJG_MAYBANK_NK_L_IDR_NO_2022_IF,2562,6476400000,2.6985E+11,0
CTMPJG_IDR,CTMPJG_MAYBANK_NK_L_IDR_NO_2023_IF,1230,4144200000,1.72675E+11,0
CTMPJG_IDR,CTMPJG_MAYBANK_NK_L_IDR_NO_2024_IF,1495,6564600000,2.73525E+11,0
CTMPJG_IDR,CTMPJG_MAYBANK_NK_L_IDR_NO_2025_Q1,951,3938400000,1.641E+11,0
CTMPJG_IDR,CTMPJG_TELEMAYBANK_NK_L_IDR_NO_2020_IF,818,2493000000,1.03875E+11,0
CTMPJG_IDR,CTMPJG_TELEMAYBANK_NK_L_IDR_NO_2021_IF,97,230400000,9600000000,0
CTMPJG_IDR,CTMPJG_TELEMAYBANK_NK_L_IDR_NO_2023_IF,29,37200000,1550000000,0
CTMPJS_IDR,CTMPJS_MAYBANK_NK_L_IDR_NO_2018_IF,6,7200000,600000000,0
CTMPJS_IDR,CTMPJS_MAYBANK_NK_L_IDR_NO_2019_IF,4,6600000,550000000,0
CTMPJS_IDR,CTMPJS_MAYBANK_NK_L_IDR_NO_2020_IF,1,2400000,200000000,0
CTMPSL_IDR,CTMPSL_TELEMAYBANK_NK_L_IDR_NO_2021_IF,1217,2595600000,88492500000,0
CTMPSL_IDR,CTMPSL_TELEMAYBANK_NK_L_IDR_NO_2022_IF,1537,4078800000,1.29983E+11,0
CTMPSL_IDR,CTMPSL_TELEMAYBANK_NK_L_IDR_NO_2023_IF,3172,11450400000,3.63555E+11,0
