product_group;goc;pol_num;pre_ann;sum_assd;loan_sa;;
CPBECI_IDR;CPBECI_EAGLE_AG_H_IDR_NO_2025_Q2;94;30842000;1636895942;0;;
CPBECI_IDR;CPBECI_SPRING_AG_H_IDR_NO_2025_Q1;13;5340000;134460600;0;;
CPBECI_IDR;CPBECI_SPRING_AG_H_IDR_NO_2025_Q2;77;33452000;1256143598;0;;
CSAMAN_IDR;CSAMAN_AZID_AG_L_IDR_SN_2023_IF;96;2155996460;32427000000;0;;
CSAMAN_IDR;CSAMAN_AZID_AG_L_IDR_SN_2024_IF;94;2401044085;29357500000;0;;
CSAMAN_IDR;CSAMAN_AZID_AG_L_IDR_SN_2025_Q1;16;637655912;7308000000;0;;
CSAMAN_IDR;CSAMAN_AZID_AG_L_IDR_SN_2025_Q2;9;255365000;2225000000;0;;
CSAMAN_IDR;CSAMAN_EAGLE_AG_L_IDR_SN_2023_IF;89;2819324550;37064800000;0;;
CSAMAN_IDR;CSAMAN_EAGLE_AG_L_IDR_SN_2024_IF;130;2826623852;36800500000;0;;
CSAMAN_IDR;CSAMAN_EAGLE_AG_L_IDR_SN_2025_Q1;33;900754100;12495000000;0;;
CSAMAN_IDR;CSAMAN_EAGLE_AG_L_IDR_SN_2025_Q2;23;344176400;4515000000;0;;
CSAMAN_IDR;CSAMAN_MAYBANK_NK_L_IDR_SN_2024_IF;69;2806082530;23127442193;0;;
CSAMAN_IDR;CSAMAN_MAYBANK_NK_L_IDR_SN_2025_Q1;23;815296241;5813950000;0;;
CSAMAN_IDR;CSAMAN_MAYBANK_NK_L_IDR_SN_2025_Q2;27;1065744100;5518000000;0;;
CSAMAN_IDR;CSAMAN_SPRING_AG_L_IDR_SN_2023_IF;177;4795504588;68352500000;0;;
CSAMAN_IDR;CSAMAN_SPRING_AG_L_IDR_SN_2024_IF;145;2549961880;44088967200;0;;
CSAMAN_IDR;CSAMAN_SPRING_AG_L_IDR_SN_2025_Q1;47;895699800;17334677250;0;;
CSAMAN_IDR;CSAMAN_SPRING_AG_L_IDR_SN_2025_Q2;18;325302300;6670000000;0;;
CSCI49_IDR;CSCI49_ASN3_AG_L_IDR_SN_2024_IF;1;8820000;400000000;0;;
CSCI49_IDR;CSCI49_AZID_AG_L_IDR_SN_2023_IF;120;372415560;52970660297;0;;
CSCI49_IDR;CSCI49_AZID_AG_L_IDR_SN_2024_IF;37;93816660;11148297500;0;;
CSCI49_IDR;CSCI49_EAGLE_AG_L_IDR_SN_2023_IF;680;1820011055;3,28302E+11;0;;
CSCI49_IDR;CSCI49_EAGLE_AG_L_IDR_SN_2024_IF;7;21262476;4076600000;0;;
CSCI49_IDR;CSCI49_SPRING_AG_L_IDR_SN_2023_IF;1107;3226688964;5,46412E+11;0;;
CSCI49_IDR;CSCI49_SPRING_AG_L_IDR_SN_2024_IF;78;246386064;31090300027;0;;
CSGREN_IDR;CSGREN_BTPN_NK_L_IDR_SI_2024_IF;111;5185508607;49726830000;0;;
